[I 240116 09:00:56 policy_utils:158] {
      "env": "MovieLensEnv-v0",
      "user_model_name": "DeepFM",
      "seed": 2023,
      "cuda": 7,
      "remove_recommended_ids": false,
      "draw_bar": false,
      "is_userinfo": true,
      "is_all_item_ranking": false,
      "cpu": false,
      "is_save": false,
      "use_userEmbedding": false,
      "use_pretrained_embedding": true,
      "exploration_noise": false,
      "explore_eps": 0.01,
      "need_state_norm": false,
      "freeze_emb": false,
      "reward_handle": "cat",
      "which_tracker": "avg",
      "embedding_dim": 32,
      "window_size": 3,
      "random_init": true,
      "filter_sizes": [
        2,
        3,
        4
      ],
      "num_filters": 16,
      "dropout_rate": 0.1,
      "num_heads": 1,
      "dilations": "[1, 2, 1, 2, 1, 2]",
      "buffer_size": 100000,
      "lr": 0.001,
      "epoch": 100,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "n_step": 3,
      "update_per_step": 0.125,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "reward_threshold": null,
      "gamma": 0.9,
      "step_per_epoch": 100000,
      "step_per_collect": 100,
      "repeat_per_collect": 1,
      "logdir": "log",
      "read_message": "pointneg_3",
      "all_item_ranking": false,
      "is_binarize": true,
      "need_transform": true,
      "use_auxiliary": true,
      "entropy_window": [
        1,
        2
      ],
      "rating_threshold": 4,
      "yfeat": "rating",
      "leave_threshold": 75,
      "num_leave_compute": 7,
      "max_turn": 30,
      "force_length": 10,
      "top_rate": 0.8,
      "model_name": "A2C",
      "vf_coef": 0.5,
      "ent_coef": 0.0,
      "max_grad_norm": null,
      "gae_lambda": 1.0,
      "rew_norm": false,
      "message": "A2C_3",
      "hostname": "server3"
    }
[I 240116 09:08:54 loggers:84] Epoch: [1], Info: [{'num_test': 100, 'len_tra': 5.61, 'R_tra': 15.20631323710084, 'ctr': '2.71057', 'CV': '0.02758', 'CV_turn': '0.19430', 'Diversity': '0.84800', 'Novelty': '5.21896', 'ifeat_feat': 0.7985739750445633, 'NX_0_len_tra': 10.14, 'NX_0_R_tra': 24.84958253711462, 'NX_0_ctr': '2.45065', 'NX_0_CV': '0.04732', 'NX_0_CV_turn': '0.18442', 'NX_0_Diversity': '0.99220', 'NX_0_Novelty': '5.55536', 'NX_0_ifeat_feat': 0.7790927021696252, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.64992671340704, 'NX_10_ctr': '2.36499', 'NX_10_CV': '0.04504', 'NX_10_CV_turn': '0.17800', 'NX_10_Diversity': '0.99313', 'NX_10_Novelty': '5.68578', 'NX_10_ifeat_feat': 0.781}]
[I 240116 09:15:29 loggers:84] Epoch: [2], Info: [{'num_test': 100, 'len_tra': 6.71, 'R_tra': 19.60331776380539, 'ctr': '2.92151', 'CV': '0.01442', 'CV_turn': '0.08495', 'Diversity': '0.81001', 'Novelty': '5.05284', 'ifeat_feat': 0.8241430700447094, 'NX_0_len_tra': 15.72, 'NX_0_R_tra': 35.98632568642497, 'NX_0_ctr': '2.28921', 'NX_0_CV': '0.02961', 'NX_0_CV_turn': '0.07443', 'NX_0_Diversity': '0.99250', 'NX_0_Novelty': '5.73196', 'NX_0_ifeat_feat': 0.7735368956743003, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.200829959511758, 'NX_10_ctr': '2.32008', 'NX_10_CV': '0.01923', 'NX_10_CV_turn': '0.07600', 'NX_10_Diversity': '0.99294', 'NX_10_Novelty': '5.76941', 'NX_10_ifeat_feat': 0.763}]
[I 240116 09:21:53 loggers:84] Epoch: [3], Info: [{'num_test': 100, 'len_tra': 7.69, 'R_tra': 22.52677048355341, 'ctr': '2.92936', 'CV': '0.01088', 'CV_turn': '0.05592', 'Diversity': '0.88185', 'Novelty': '5.51012', 'ifeat_feat': 0.8556566970091027, 'NX_0_len_tra': 18.91, 'NX_0_R_tra': 40.912104513719676, 'NX_0_ctr': '2.16352', 'NX_0_CV': '0.03543', 'NX_0_CV_turn': '0.07403', 'NX_0_Diversity': '0.99266', 'NX_0_Novelty': '5.99400', 'NX_0_ifeat_feat': 0.7747223691168694, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.95700612798333, 'NX_10_ctr': '2.39570', 'NX_10_CV': '0.01872', 'NX_10_CV_turn': '0.07400', 'NX_10_Diversity': '0.99291', 'NX_10_Novelty': '5.93728', 'NX_10_ifeat_feat': 0.813}]
[I 240116 09:28:22 loggers:84] Epoch: [4], Info: [{'num_test': 100, 'len_tra': 7.53, 'R_tra': 22.54662819713354, 'ctr': '2.99424', 'CV': '0.01113', 'CV_turn': '0.05843', 'Diversity': '0.88264', 'Novelty': '5.61725', 'ifeat_feat': 0.8764940239043825, 'NX_0_len_tra': 21.44, 'NX_0_R_tra': 42.926421914324166, 'NX_0_ctr': '2.00217', 'NX_0_CV': '0.03492', 'NX_0_CV_turn': '0.06437', 'NX_0_Diversity': '0.99280', 'NX_0_Novelty': '6.00252', 'NX_0_ifeat_feat': 0.7611940298507462, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.79933249466121, 'NX_10_ctr': '2.37993', 'NX_10_CV': '0.01619', 'NX_10_CV_turn': '0.06400', 'NX_10_Diversity': '0.99295', 'NX_10_Novelty': '6.03164', 'NX_10_ifeat_feat': 0.795}]
[I 240116 09:34:55 loggers:84] Epoch: [5], Info: [{'num_test': 100, 'len_tra': 7.66, 'R_tra': 23.11840839266777, 'ctr': '3.01807', 'CV': '0.00810', 'CV_turn': '0.04178', 'Diversity': '0.87915', 'Novelty': '5.66245', 'ifeat_feat': 0.8577023498694517, 'NX_0_len_tra': 22.9, 'NX_0_R_tra': 46.367733590342105, 'NX_0_ctr': '2.02479', 'NX_0_CV': '0.03517', 'NX_0_CV_turn': '0.06070', 'NX_0_Diversity': '0.99292', 'NX_0_Novelty': '6.13607', 'NX_0_ifeat_feat': 0.7655021834061135, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 22.525913063287735, 'NX_10_ctr': '2.25259', 'NX_10_CV': '0.01746', 'NX_10_CV_turn': '0.06900', 'NX_10_Diversity': '0.99298', 'NX_10_Novelty': '5.87043', 'NX_10_ifeat_feat': 0.785}]
[I 240116 09:41:06 loggers:84] Epoch: [6], Info: [{'num_test': 100, 'len_tra': 7.35, 'R_tra': 22.310543949231505, 'ctr': '3.03545', 'CV': '0.00911', 'CV_turn': '0.04898', 'Diversity': '0.87125', 'Novelty': '5.55978', 'ifeat_feat': 0.8625850340136054, 'NX_0_len_tra': 22.55, 'NX_0_R_tra': 44.899386325143276, 'NX_0_ctr': '1.99110', 'NX_0_CV': '0.03340', 'NX_0_CV_turn': '0.05854', 'NX_0_Diversity': '0.99292', 'NX_0_Novelty': '5.94341', 'NX_0_ifeat_feat': 0.7445676274944567, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 22.661815766394138, 'NX_10_ctr': '2.26618', 'NX_10_CV': '0.01392', 'NX_10_CV_turn': '0.05500', 'NX_10_Diversity': '0.99306', 'NX_10_Novelty': '5.82137', 'NX_10_ifeat_feat': 0.793}]
[I 240116 09:47:11 loggers:84] Epoch: [7], Info: [{'num_test': 100, 'len_tra': 8.02, 'R_tra': 24.38102120369673, 'ctr': '3.04003', 'CV': '0.00835', 'CV_turn': '0.04115', 'Diversity': '0.89033', 'Novelty': '5.41786', 'ifeat_feat': 0.9102244389027432, 'NX_0_len_tra': 24.61, 'NX_0_R_tra': 49.25954535655677, 'NX_0_ctr': '2.00161', 'NX_0_CV': '0.03492', 'NX_0_CV_turn': '0.05607', 'NX_0_Diversity': '0.99288', 'NX_0_Novelty': '5.92699', 'NX_0_ifeat_feat': 0.7553839902478667, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.224052287340164, 'NX_10_ctr': '2.32241', 'NX_10_CV': '0.01265', 'NX_10_CV_turn': '0.05000', 'NX_10_Diversity': '0.99309', 'NX_10_Novelty': '5.88999', 'NX_10_ifeat_feat': 0.799}]
[I 240116 09:53:42 loggers:84] Epoch: [8], Info: [{'num_test': 100, 'len_tra': 7.97, 'R_tra': 24.837129873931406, 'ctr': '3.11633', 'CV': '0.00810', 'CV_turn': '0.04015', 'Diversity': '0.87513', 'Novelty': '5.38063', 'ifeat_feat': 0.904642409033877, 'NX_0_len_tra': 24.3, 'NX_0_R_tra': 47.304987445697186, 'NX_0_ctr': '1.94671', 'NX_0_CV': '0.03467', 'NX_0_CV_turn': '0.05638', 'NX_0_Diversity': '0.99295', 'NX_0_Novelty': '5.90846', 'NX_0_ifeat_feat': 0.7613168724279835, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 22.360314762443306, 'NX_10_ctr': '2.23603', 'NX_10_CV': '0.01189', 'NX_10_CV_turn': '0.04700', 'NX_10_Diversity': '0.99317', 'NX_10_Novelty': '5.77073', 'NX_10_ifeat_feat': 0.837}]
[I 240116 09:59:50 loggers:84] Epoch: [9], Info: [{'num_test': 100, 'len_tra': 8.04, 'R_tra': 24.551678837835787, 'ctr': '3.05369', 'CV': '0.00886', 'CV_turn': '0.04353', 'Diversity': '0.87311', 'Novelty': '5.49019', 'ifeat_feat': 0.9029850746268657, 'NX_0_len_tra': 25.26, 'NX_0_R_tra': 49.14061537265778, 'NX_0_ctr': '1.94539', 'NX_0_CV': '0.03365', 'NX_0_CV_turn': '0.05265', 'NX_0_Diversity': '0.99292', 'NX_0_Novelty': '5.93608', 'NX_0_ifeat_feat': 0.7636579572446556, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 22.774505653977393, 'NX_10_ctr': '2.27745', 'NX_10_CV': '0.01113', 'NX_10_CV_turn': '0.04400', 'NX_10_Diversity': '0.99297', 'NX_10_Novelty': '5.84363', 'NX_10_ifeat_feat': 0.815}]
[I 240116 10:05:48 loggers:84] Epoch: [10], Info: [{'num_test': 100, 'len_tra': 7.74, 'R_tra': 25.21902227178216, 'ctr': '3.25827', 'CV': '0.00835', 'CV_turn': '0.04264', 'Diversity': '0.88216', 'Novelty': '5.46043', 'ifeat_feat': 0.8798449612403101, 'NX_0_len_tra': 26.34, 'NX_0_R_tra': 51.59932789437473, 'NX_0_ctr': '1.95897', 'NX_0_CV': '0.03871', 'NX_0_CV_turn': '0.05809', 'NX_0_Diversity': '0.99295', 'NX_0_Novelty': '5.91099', 'NX_0_ifeat_feat': 0.7513287775246773, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.80228966023773, 'NX_10_ctr': '2.38023', 'NX_10_CV': '0.01215', 'NX_10_CV_turn': '0.04800', 'NX_10_Diversity': '0.99292', 'NX_10_Novelty': '5.70719', 'NX_10_ifeat_feat': 0.797}]
[I 240116 10:11:26 loggers:84] Epoch: [11], Info: [{'num_test': 100, 'len_tra': 8.24, 'R_tra': 25.675639256462453, 'ctr': '3.11598', 'CV': '0.00810', 'CV_turn': '0.03883', 'Diversity': '0.88982', 'Novelty': '5.31249', 'ifeat_feat': 0.9162621359223301, 'NX_0_len_tra': 26.0, 'NX_0_R_tra': 49.785724249724296, 'NX_0_ctr': '1.91484', 'NX_0_CV': '0.03467', 'NX_0_CV_turn': '0.05269', 'NX_0_Diversity': '0.99294', 'NX_0_Novelty': '5.88824', 'NX_0_ifeat_feat': 0.7603846153846154, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.1876714900136, 'NX_10_ctr': '2.41877', 'NX_10_CV': '0.01189', 'NX_10_CV_turn': '0.04700', 'NX_10_Diversity': '0.99288', 'NX_10_Novelty': '5.64234', 'NX_10_ifeat_feat': 0.856}]
